store;websites;sku;qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;use_config_min_sale_qty;use_config_max_sale_qty;is_in_stock;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;stock_status_changed_automatically;use_config_enable_qty_increments
admin;base,placas;11832;11910;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11949;11688;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;5832;11520;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10591;11000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10283;11000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10860;10805;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11626;10060;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42101072475;10000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201073828;10000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201078087;10000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;EB0214-RFQ00356;10000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;8762;9930;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09263;9500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09395;9500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;3614;9359;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10402;9200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ03979;8841;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ04939;8731;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11327;8652;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;3065;8500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ04409;8438;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ04451;8400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10573;8400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10689;8293;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ04440;8200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09334;8000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09668;8000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12038;7709;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11810;7689;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ08067;7599;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9973;7546;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11603;7504;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11521;7200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2501;7174;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12036;7100;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ07918;7000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ07030;6995;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2091;6749;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9437;6630;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10593;6500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12161;6500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10212;6439;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9841;6400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;5610;6379;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;80080;6292;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10640;6060;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10590;6000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10592;6000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09407;6000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10226;5998;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
